user,a perfect circle,abba,ac/dc,adam green,aerosmith,afi,air,alanis morissette,alexisonfire,alicia keys,all that remains,amon amarth
1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,1,1,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,1,0,0
51,1,0,0,0,1,0,0,0,0,0,0,0
62,0,1,0,0,0,0,0,0,0,0,0,0
75,0,0,1,1,1,0,0,0,1,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,1,0
144,1,0,0,0,0,1,1,1,0,0,0,0
150,0,1,0,0,0,0,0,0,0,0,0,0
205,0,0,1,0,0,0,0,0,0,0,0,0
247,0,0,0,1,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,1,1,0,0,0,0
299,1,1,0,0,0,0,0,0,0,0,1,1
313,0,0,1,0,0,0,0,0,0,1,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,1,0,0,0,0,1,1
367,0,1,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0
